candidate_id,rank,score,reasoning
CAND_0046353,1,0.8073,"ML Engineer, 6.4 yrs experience; roles at Razorpay (Fintech), Paytm (Fintech); backed ranking/retrieval skills; India-based; actively available."
CAND_0005649,2,0.7908,"Senior Data Scientist, 7.4 yrs experience; roles at Sarvam AI (AI/ML), Aganitha (AI/ML); backed ranking/retrieval skills; India-based."
CAND_0010257,3,0.7882,"Senior Data Scientist, 6.5 yrs experience; roles at Google (Internet), PharmEasy (HealthTech); verified skill assessment 90 on ranking/retrieval; India-based; actively available."
CAND_0028793,4,0.7857,"Search Engineer, 7.2 yrs experience; roles at Google (Internet), Amazon (Internet); verified skill assessment 88 on ranking/retrieval; India-based."
CAND_0042029,5,0.7856,"Senior Data Scientist, 6.5 yrs experience; roles at Flipkart (E-commerce), Observe.AI (AI/ML); backed ranking/retrieval skills; India-based."
CAND_0077337,6,0.7818,"Staff Machine Learning Engineer, 7.0 yrs experience; roles at Paytm (Fintech), Razorpay (Fintech); verified skill assessment 63 on ranking/retrieval; India-based; actively available."
CAND_0061257,7,0.7761,"Staff Machine Learning Engineer, 8.0 yrs experience; roles at LinkedIn (Internet), Yellow.ai (AI/ML); backed ranking/retrieval skills; India-based; actively available."
CAND_0098454,8,0.7735,"AI Specialist, 6.6 yrs experience; roles at Meesho (E-commerce), Wipro (IT Services); verified skill assessment 80 on ranking/retrieval; India-based; actively available."
CAND_0054100,9,0.7723,"Junior ML Engineer, 6.0 yrs experience; roles at Zoho (SaaS), Unacademy (EdTech); verified skill assessment 81 on ranking/retrieval; India-based; actively available."
CAND_0074735,10,0.7708,"Applied ML Engineer, 5.5 yrs experience; roles at Rephrase.ai (AI/ML), Rephrase.ai (AI/ML); backed ranking/retrieval skills; India-based; actively available."
CAND_0075249,11,0.7678,"Applied ML Engineer, 6.2 yrs experience; roles at Zomato (Food Delivery), upGrad (EdTech); verified skill assessment 80 on ranking/retrieval; India-based; actively available."
CAND_0069905,12,0.7633,"Applied ML Engineer, 6.6 yrs experience; roles at Sarvam AI (AI/ML), Nykaa (E-commerce); backed ranking/retrieval skills; India-based; actively available."
CAND_0081053,13,0.7630,"NLP Engineer, 5.4 yrs experience; roles at Glance (AI/ML), Salesforce (Software); backed ranking/retrieval skills; India-based; actively available."
CAND_0098217,14,0.7616,"ML Engineer, 6.4 yrs experience; roles at Glance (AI/ML), Freshworks (SaaS); backed ranking/retrieval skills; India-based; actively available."
CAND_0052328,15,0.7593,"Recommendation Systems Engineer, 6.5 yrs experience; roles at Amazon (Internet), Observe.AI (AI/ML); verified skill assessment 65 on ranking/retrieval; India-based; actively available."
CAND_0000031,16,0.7580,"Recommendation Systems Engineer, 6.0 yrs experience; roles at Swiggy (Food Delivery), Mad Street Den (AI/ML); verified skill assessment 68 on ranking/retrieval; India-based; actively available."
CAND_0006418,17,0.7561,"Machine Learning Engineer, 5.7 yrs experience; roles at Verloop.io (Conversational AI), Flipkart (E-commerce); verified skill assessment 89 on ranking/retrieval; India-based; actively available."
CAND_0030468,18,0.7561,"Senior Applied Scientist, 5.4 yrs experience; roles at Swiggy (Food Delivery), CRED (Fintech); verified skill assessment 97 on ranking/retrieval; India-based; actively available."
CAND_0093193,19,0.7493,"Senior Machine Learning Engineer, 7.9 yrs experience; roles at Niramai (HealthTech AI), Netflix (Media); verified skill assessment 86 on ranking/retrieval; India-based; actively available."
CAND_0004972,20,0.7491,"ML Engineer, 6.0 yrs experience; roles at Glance (AI/ML), Locobuzz (AI/ML); verified skill assessment 86 on ranking/retrieval; India-based; actively available."
CAND_0081852,21,0.7408,"Senior Data Scientist, 5.9 yrs experience; roles at Mad Street Den (AI/ML), Nykaa (E-commerce); backed ranking/retrieval skills; India-based."
CAND_0033911,22,0.7385,"Data Scientist, 6.9 yrs experience; roles at Mad Street Den (AI/ML), Flipkart (E-commerce); backed ranking/retrieval skills; India-based; actively available."
CAND_0006567,23,0.7366,"Senior AI Engineer, 7.9 yrs experience; roles at Meta (Internet), Razorpay (Fintech); verified skill assessment 64 on ranking/retrieval; India-based; actively available."
CAND_0094056,24,0.7331,"NLP Engineer, 5.9 yrs experience; roles at Rephrase.ai (AI/ML), Adobe (Software); backed ranking/retrieval skills; India-based; actively available."
CAND_0010603,25,0.7315,"ML Engineer, 5.3 yrs experience; roles at BYJU'S (EdTech), BYJU'S (EdTech); backed ranking/retrieval skills; India-based; actively available."
CAND_0002793,26,0.7271,"AI Specialist, 5.5 yrs experience; roles at Meesho (E-commerce), Vedantu (EdTech); verified skill assessment 86 on ranking/retrieval; India-based."
CAND_0060835,27,0.7268,"Senior Software Engineer (ML), 6.6 yrs experience; roles at Sarvam AI (AI/ML), CRED (Fintech); verified skill assessment 76 on ranking/retrieval; India-based."
CAND_0043693,28,0.7254,"Data Engineer, 6.7 yrs experience; roles at PolicyBazaar (Insurance Tech), Hooli (Software); verified skill assessment 80 on ranking/retrieval; India-based; actively available."
CAND_0075931,29,0.7240,"Software Engineer, 7.5 yrs experience; roles at BYJU'S (EdTech), Zoho (SaaS); verified skill assessment 79 on ranking/retrieval; India-based; actively available."
CAND_0043860,30,0.7188,"Junior ML Engineer, 6.1 yrs experience; roles at Aganitha (AI/ML), Nykaa (E-commerce); verified skill assessment 83 on ranking/retrieval; India-based; actively available."
CAND_0082086,31,0.7181,"Senior Software Engineer (ML), 6.0 yrs experience; roles at Razorpay (Fintech), Swiggy (Food Delivery); verified skill assessment 62 on ranking/retrieval; India-based; actively available."
CAND_0072688,32,0.7178,"Data Scientist, 6.9 yrs experience; roles at Niramai (HealthTech AI), PolicyBazaar (Insurance Tech); verified skill assessment 74 on ranking/retrieval; India-based; actively available."
CAND_0052195,33,0.7145,"Computer Vision Engineer, 6.3 yrs experience; roles at Sarvam AI (AI/ML), PolicyBazaar (Insurance Tech); verified skill assessment 75 on ranking/retrieval; India-based; actively available."
CAND_0049217,34,0.7141,"Computer Vision Engineer, 6.0 yrs experience; roles at upGrad (EdTech), Mad Street Den (AI/ML); verified skill assessment 81 on ranking/retrieval; India-based; actively available."
CAND_0001930,35,0.7128,"Senior Software Engineer (ML), 6.9 yrs experience; roles at Dream11 (Gaming), Flipkart (E-commerce); verified skill assessment 81 on ranking/retrieval; India-based; actively available."
CAND_0099806,36,0.7122,"AI Engineer, 4.6 yrs experience; roles at Mad Street Den (AI/ML), upGrad (EdTech); backed ranking/retrieval skills; India-based; actively available."
CAND_0024147,37,0.7093,"ML Engineer, 5.9 yrs experience; roles at Ola (Transportation), PhonePe (Fintech); verified skill assessment 63 on ranking/retrieval; India-based; actively available."
CAND_0096142,38,0.7086,"Applied ML Engineer, 5.0 yrs experience; roles at upGrad (EdTech), BYJU'S (EdTech); verified skill assessment 85 on ranking/retrieval; India-based; actively available."
CAND_0033445,39,0.7062,"ML Engineer, 6.8 yrs experience; roles at Vedantu (EdTech), Niramai (HealthTech AI); verified skill assessment 84 on ranking/retrieval; India-based; actively available."
CAND_0053591,40,0.7054,"AI Engineer, 5.3 yrs experience; roles at Ola (Transportation), Swiggy (Food Delivery); backed ranking/retrieval skills; actively available."
CAND_0036121,41,0.7048,"ML Engineer, 5.2 yrs experience; roles at Wysa (HealthTech AI), Wipro (IT Services); verified skill assessment 82 on ranking/retrieval; India-based."
CAND_0020708,42,0.7047,"Search Engineer, 4.2 yrs experience; roles at PolicyBazaar (Insurance Tech); backed ranking/retrieval skills; India-based; actively available."
CAND_0089552,43,0.7044,"Machine Learning Engineer, 6.0 yrs experience; roles at Netflix (Media), Mad Street Den (AI/ML); verified skill assessment 77 on ranking/retrieval; India-based."
CAND_0004402,44,0.7040,"AI Research Engineer, 6.0 yrs experience; roles at Yellow.ai (AI/ML), Zomato (Food Delivery); backed ranking/retrieval skills; India-based; actively available."
CAND_0065514,45,0.7037,"ML Engineer, 6.6 yrs experience; roles at Genpact AI (AI Services), Rephrase.ai (AI/ML); verified skill assessment 67 on ranking/retrieval; India-based."
CAND_0059017,46,0.7003,"AI Research Engineer, 6.8 yrs experience; roles at PhonePe (Fintech), PhonePe (Fintech); verified skill assessment 69 on ranking/retrieval; India-based; actively available."
CAND_0096759,47,0.6987,"Data Analyst, 7.4 yrs experience; roles at Accenture (Consulting), Hooli (Software); verified skill assessment 74 on ranking/retrieval; India-based."
CAND_0015528,48,0.6958,"Applied ML Engineer, 7.4 yrs experience; roles at Krutrim (AI/ML), Locobuzz (AI/ML); verified skill assessment 65 on ranking/retrieval; India-based."
CAND_0017093,49,0.6955,"ML Engineer, 5.9 yrs experience; roles at Zoho (SaaS), Wysa (HealthTech AI); backed ranking/retrieval skills; India-based; actively available."
CAND_0096172,50,0.6950,"NLP Engineer, 5.2 yrs experience; roles at Krutrim (AI/ML), Dream11 (Gaming); backed ranking/retrieval skills; India-based."
CAND_0007052,51,0.6934,"ML Engineer, 6.5 yrs experience; roles at Unacademy (EdTech), Wysa (HealthTech AI); backed ranking/retrieval skills; India-based; actively available."
CAND_0074225,52,0.6923,"Machine Learning Engineer, 4.3 yrs experience; roles at Unacademy (EdTech), Mad Street Den (AI/ML); verified skill assessment 89 on ranking/retrieval; India-based; actively available."
CAND_0031752,53,0.6913,"ML Engineer, 5.0 yrs experience; roles at Unacademy (EdTech), HCL (IT Services); backed ranking/retrieval skills; India-based; actively available."
CAND_0088354,54,0.6901,"Junior ML Engineer, 6.5 yrs experience; roles at Aganitha (AI/ML), upGrad (EdTech); verified skill assessment 81 on ranking/retrieval; India-based; actively available."
CAND_0076251,55,0.6900,"Search Engineer, 7.6 yrs experience; roles at Haptik (Conversational AI), CRED (Fintech); verified skill assessment 76 on ranking/retrieval; India-based."
CAND_0053605,56,0.6892,"Senior Software Engineer (ML), 6.9 yrs experience; roles at Verloop.io (Conversational AI), TCS (IT Services); verified skill assessment 79 on ranking/retrieval; India-based; actively available."
CAND_0065277,57,0.6892,"Computer Vision Engineer, 6.3 yrs experience; roles at Aganitha (AI/ML), Mad Street Den (AI/ML); verified skill assessment 78 on ranking/retrieval; India-based."
CAND_0085458,58,0.6892,"Analytics Engineer, 7.8 yrs experience; roles at Nykaa (E-commerce), Dunder Mifflin (Paper Products); verified skill assessment 79 on ranking/retrieval; India-based."
CAND_0067643,59,0.6890,"AI Research Engineer, 6.0 yrs experience; roles at PhonePe (Fintech), PolicyBazaar (Insurance Tech); backed ranking/retrieval skills; India-based."
CAND_0001056,60,0.6886,"Computer Vision Engineer, 5.1 yrs experience; roles at Genpact AI (AI Services), Glance (AI/ML); verified skill assessment 83 on ranking/retrieval; India-based; actively available."
CAND_0094728,61,0.6870,"AI Specialist, 6.5 yrs experience; roles at Swiggy (Food Delivery), Observe.AI (AI/ML); backed ranking/retrieval skills; India-based."
CAND_0055668,62,0.6862,"Senior Data Engineer, 6.3 yrs experience; roles at CRED (Fintech), Zoho (SaaS); verified skill assessment 80 on ranking/retrieval; India-based; actively available."
CAND_0022463,63,0.6856,"Junior ML Engineer, 6.5 yrs experience; roles at Zomato (Food Delivery), Vedantu (EdTech); verified skill assessment 86 on ranking/retrieval; actively available."
CAND_0025640,64,0.6855,"AI Research Engineer, 5.6 yrs experience; roles at HCL (IT Services), Yellow.ai (AI/ML); verified skill assessment 74 on ranking/retrieval; India-based; actively available."
CAND_0000981,65,0.6854,"ML Engineer, 6.4 yrs experience; roles at Wysa (HealthTech AI), Zoho (SaaS); backed ranking/retrieval skills; India-based."
CAND_0068777,66,0.6846,"AI Research Engineer, 6.6 yrs experience; roles at PolicyBazaar (Insurance Tech), TCS (IT Services); verified skill assessment 86 on ranking/retrieval; India-based."
CAND_0007411,67,0.6834,"Senior Machine Learning Engineer, 8.0 yrs experience; roles at Amazon (Internet), Yellow.ai (AI/ML); verified skill assessment 91 on ranking/retrieval; India-based."
CAND_0036474,68,0.6829,"Analytics Engineer, 6.6 yrs experience; roles at Mindtree (IT Services), Razorpay (Fintech); verified skill assessment 65 on ranking/retrieval; India-based; actively available."
CAND_0095207,69,0.6816,"Computer Vision Engineer, 4.0 yrs experience; roles at Ola (Transportation), Freshworks (SaaS); verified skill assessment 83 on ranking/retrieval; India-based; actively available."
CAND_0087630,70,0.6815,"AI Engineer, 7.2 yrs experience; roles at Vedantu (EdTech), Haptik (Conversational AI); verified skill assessment 78 on ranking/retrieval; India-based."
CAND_0060054,71,0.6809,"AI Engineer, 6.4 yrs experience; roles at Mad Street Den (AI/ML), Zomato (Food Delivery); backed ranking/retrieval skills; India-based; actively available."
CAND_0032270,72,0.6801,"Data Scientist, 4.4 yrs experience; roles at Tech Mahindra (IT Services), Zomato (Food Delivery); backed ranking/retrieval skills; India-based."
CAND_0010541,73,0.6795,"AI Research Engineer, 6.2 yrs experience; roles at Wysa (HealthTech AI), Wysa (HealthTech AI); verified skill assessment 76 on ranking/retrieval; India-based."
CAND_0018701,74,0.6783,"Junior ML Engineer, 6.0 yrs experience; roles at Krutrim (AI/ML), Nykaa (E-commerce); verified skill assessment 82 on ranking/retrieval; India-based; actively available."
CAND_0058688,75,0.6778,"AI Engineer, 6.7 yrs experience; roles at Vedantu (EdTech), Apple (Consumer Electronics); backed ranking/retrieval skills; actively available."
CAND_0003572,76,0.6777,"Software Engineer, 7.9 yrs experience; roles at Flipkart (E-commerce), Meesho (E-commerce); verified skill assessment 72 on ranking/retrieval; India-based; actively available."
CAND_0032912,77,0.6776,"Data Engineer, 6.2 yrs experience; roles at Freshworks (SaaS), Swiggy (Food Delivery); verified skill assessment 68 on ranking/retrieval; India-based; actively available."
CAND_0018888,78,0.6775,"AI Research Engineer, 6.5 yrs experience; roles at Razorpay (Fintech), Vedantu (EdTech); backed ranking/retrieval skills; India-based."
CAND_0073007,79,0.6757,"AI Specialist, 5.8 yrs experience; roles at Aganitha (AI/ML), Glance (AI/ML); verified skill assessment 45 on ranking/retrieval; India-based; actively available."
CAND_0030946,80,0.6749,"Junior ML Engineer, 6.7 yrs experience; roles at Yellow.ai (AI/ML), Glance (AI/ML); backed ranking/retrieval skills; India-based."
CAND_0052827,81,0.6739,"Data Scientist, 5.9 yrs experience; roles at Genpact AI (AI Services), CRED (Fintech); verified skill assessment 77 on ranking/retrieval; India-based."
CAND_0004754,82,0.6734,"Java Developer, 6.8 yrs experience; roles at CRED (Fintech), Pied Piper (Software); verified skill assessment 77 on ranking/retrieval; India-based."
CAND_0049543,83,0.6720,"ML Engineer, 6.1 yrs experience; roles at PolicyBazaar (Insurance Tech), Vedantu (EdTech); backed ranking/retrieval skills; India-based."
CAND_0012837,84,0.6717,"Junior ML Engineer, 6.4 yrs experience; roles at Sarvam AI (AI/ML), CRED (Fintech); verified skill assessment 66 on ranking/retrieval; India-based; actively available."
CAND_0095528,85,0.6712,"Senior Data Scientist, 5.3 yrs experience; roles at Netflix (Media), Adobe (Software); verified skill assessment 86 on ranking/retrieval; India-based; actively available."
CAND_0000165,86,0.6711,"AI Specialist, 6.8 yrs experience; roles at Mad Street Den (AI/ML), BYJU'S (EdTech); verified skill assessment 84 on ranking/retrieval."
CAND_0041402,87,0.6704,"AI Specialist, 6.3 yrs experience; roles at Ola (Transportation), Observe.AI (AI/ML); verified skill assessment 55 on ranking/retrieval; India-based."
CAND_0037995,88,0.6703,"Analytics Engineer, 7.6 yrs experience; roles at Zomato (Food Delivery), Wipro (IT Services); verified skill assessment 79 on ranking/retrieval."
CAND_0009024,89,0.6693,"Search Engineer, 5.2 yrs experience; roles at Google (Internet), Aganitha (AI/ML); verified skill assessment 81 on ranking/retrieval; India-based."
CAND_0090584,90,0.6689,"ML Engineer, 5.1 yrs experience; roles at Flipkart (E-commerce), Wipro (IT Services); verified skill assessment 71 on ranking/retrieval; India-based."
CAND_0044850,91,0.6676,"Backend Engineer, 6.9 yrs experience; roles at upGrad (EdTech), Wipro (IT Services); verified skill assessment 57 on ranking/retrieval; India-based; actively available."
CAND_0088441,92,0.6674,"AI Specialist, 6.5 yrs experience; roles at Sarvam AI (AI/ML), Swiggy (Food Delivery); verified skill assessment 72 on ranking/retrieval; India-based."
CAND_0099108,93,0.6669,"Software Engineer, 7.3 yrs experience; roles at Dream11 (Gaming), PharmEasy (HealthTech); verified skill assessment 74 on ranking/retrieval; India-based."
CAND_0069773,94,0.6659,"AI Research Engineer, 6.0 yrs experience; roles at Nykaa (E-commerce), Genpact AI (AI Services); verified skill assessment 82 on ranking/retrieval; India-based."
CAND_0066414,95,0.6651,"QA Engineer, 7.2 yrs experience; roles at HCL (IT Services), Capgemini (IT Services); verified skill assessment 73 on ranking/retrieval; India-based; actively available."
CAND_0032594,96,0.6642,"Software Engineer, 7.9 yrs experience; roles at TCS (IT Services), BYJU'S (EdTech); verified skill assessment 60 on ranking/retrieval; India-based."
CAND_0077536,97,0.6642,"Data Analyst, 7.2 yrs experience; roles at BYJU'S (EdTech), PharmEasy (HealthTech); verified skill assessment 72 on ranking/retrieval; India-based."
CAND_0086460,98,0.6639,"ML Engineer, 6.2 yrs experience; roles at Meesho (E-commerce), Saarthi.ai (Voice AI); verified skill assessment 59 on ranking/retrieval; India-based."
CAND_0037980,99,0.6635,"Senior Applied Scientist, 9.0 yrs experience; roles at Niramai (HealthTech AI), Verloop.io (Conversational AI); verified skill assessment 72 on ranking/retrieval; India-based."
CAND_0043958,100,0.6631,"AI Research Engineer, 6.7 yrs experience; roles at Dream11 (Gaming), PhonePe (Fintech); verified skill assessment 43 on ranking/retrieval; India-based; actively available."
